cos_theta,r,g,b
0.1135110855102539,0.8306401720897454,0.8536923272400352,0.8772913582025036
0.11417007446289062,0.8302925469630615,0.8532842634883675,0.876844326563075
0.11483097076416016,0.8299491416545813,0.8528792442118845,0.8763989738098001
0.1154937744140625,0.8296099561703038,0.8524772807658105,0.8759553168476724
0.11615848541259766,0.8292749900259018,0.852078384147343,0.8755133724092196
0.11682510375976562,0.8289442422504562,0.8516825649956736,0.8750731570526621
0.1174936294555664,0.8286177113902732,0.8512898335920884,0.874634687160105
0.1181640625,0.8282953955128088,0.850900199860147,0.8741979789357627
0.1188364028930664,0.8279772922106681,0.8505136733659424,0.8737630484042208
0.11951065063476562,0.8276633986057047,0.8501302633184381,0.873329911408733
0.12018680572509766,0.8273537113531971,0.8497499785698818,0.8728985836095495
0.1208648681640625,0.8270482266461145,0.8493728276162981,0.8724690804822873
0.12154483795166016,0.826746940219457,0.8489988185980585,0.8720414173163321
0.12222671508789062,0.826449847354678,0.8486279593005263,0.8716156092132819
0.1229104995727539,0.8261569428841883,0.8482602571547728,0.8711916710854203
0.12359619140625,0.8258682211959173,0.8478957192383793,0.8707696176542367
0.1242837905883789,0.8255836762379647,0.8475343522762983,0.8703494634489769
0.12497329711914062,0.8253033015233102,0.8471761626418007,0.869931222805235
0.12566471099853516,0.8250270901345865,0.8468211563574879,0.8695149098635859
0.1263580322265625,0.8247550347289315,0.8464693390963759,0.8691005385682516
0.12705326080322266,0.8244871275428854,0.8461207161830555,0.8686881226658107
0.12775039672851562,0.824223360397357,0.8457752925949148,0.8682776757039474
0.1284494400024414,0.8239637247026421,0.8454330729634371,0.8678692110302371
0.129150390625,0.8237082114635021,0.8450940615755619,0.8674627417909748
0.1298532485961914,0.8234568112842887,0.8447582623751188,0.8670582809300436
0.13055801391601562,0.8232095143741216,0.8444256789643209,0.8666558411878214
0.13126468658447266,0.8229663105521136,0.8440963146053279,0.8662554351001301
0.1319732666015625,0.8227271892526393,0.8437701722218731,0.8658570749972254
0.13268375396728516,0.8224921395306469,0.8434472544009523,0.8654607730028276
0.13339614868164062,0.8222611500670116,0.8431275633945766,0.8650665410331927
0.1341104507446289,0.8220342091739252,0.8428111011215847,0.8646743907962248
0.13482666015625,0.8218113048003233,0.8424978691695161,0.8642843337906315
0.1355447769165039,0.8215924245373402,0.8421878687965454,0.8638963813051188
0.13626480102539062,0.8213775556238085,0.8418811009334696,0.8635105444176288
0.13698673248291016,0.821166684951768,0.8415775661857602,0.8631268339946175
0.1377105712890625,0.8209597990720174,0.8412772648356621,0.8627452606903777
0.13843631744384766,0.8207568841996818,0.8409801968443557,0.8623658349463992
0.13916397094726562,0.8205579262198064,0.8406863618541662,0.8619885669907733
0.1398935317993164,0.820362910692965,0.8403957591908285,0.8616134668376398
0.140625,0.8201718228608937,0.840108387865804,0.8612405442866742
0.1413583755493164,0.8199846476521293,0.8398242465786466,0.8608698089226159
0.14209365844726562,0.8198013696876763,0.8395433337194143,0.8605012701148408
0.14283084869384766,0.8196219732866648,0.8392656473711367,0.8601349370169745
0.1435699462890625,0.8194464424720411,0.8389911853123209,0.8597708185665446
0.14431095123291016,0.8192747609762437,0.8387199450195079,0.8594089234846788
0.14505386352539062,0.8191069122468958,0.8384519236698729,0.8590492602758413
